appid,date,newinstalls
com.app.86367,2024-01-01,1968
com.app.18711,2024-01-01,1364
com.app.36257,2024-01-01,7511
com.app.88509,2024-01-01,53137
com.app.93131,2024-01-01,137
com.app.19821,2024-01-01,19353
com.app.60770,2024-01-01,177
com.app.97548,2024-01-01,5182
com.app.15675,2024-01-01,3490
com.app.35851,2024-01-01,1513
com.app.78470,2024-01-01,3393
com.app.68015,2024-01-01,3533
com.app.64140,2024-01-01,791
com.app.61743,2024-01-01,1132
com.app.87362,2024-01-01,8628
com.app.84714,2024-01-01,1612
com.app.93571,2024-01-01,21526
com.app.17806,2024-01-01,5955
com.app.82896,2024-01-01,1218
com.app.77385,2024-01-01,3136
com.app.32607,2024-01-01,1744
com.app.21603,2024-01-01,2519
com.app.80525,2024-01-01,962
com.app.31679,2024-01-01,2160
com.app.33540,2024-01-01,8068
com.app.62109,2024-01-01,10128
com.app.41189,2024-01-01,13830
com.app.19772,2024-01-01,1125
com.app.80610,2024-01-01,10890
com.app.67629,2024-01-01,3102
com.app.44002,2024-01-01,243
com.app.23305,2024-01-01,37009
com.app.24343,2024-01-01,2257
com.app.99432,2024-01-01,8039
com.app.85231,2024-01-01,443
com.app.78155,2024-01-01,250
com.app.36648,2024-01-01,415
com.app.31454,2024-01-01,190
com.app.59245,2024-01-01,326
com.app.31097,2024-01-01,1858
com.app.95194,2024-01-01,10958
com.app.74881,2024-01-01,271
com.app.60423,2024-01-01,2092
com.app.34656,2024-01-01,2576
com.app.74794,2024-01-01,5104
com.app.20651,2024-01-01,37
com.app.48189,2024-01-01,164
com.app.37904,2024-01-01,12508
com.app.22262,2024-01-01,2832
com.app.64776,2024-01-01,751
com.app.84594,2024-01-01,0
com.app.72653,2024-01-01,1030
com.app.44541,2024-01-01,962
com.app.55481,2024-01-01,1200
com.app.65327,2024-01-01,3094
com.app.96897,2024-01-01,1209
com.app.21605,2024-01-01,330
com.app.40009,2024-01-01,718
com.app.68335,2024-01-01,384
com.app.20103,2024-01-01,99
com.app.95243,2024-01-01,1962
com.app.14509,2024-01-01,24465
com.app.66274,2024-01-01,365
com.app.90857,2024-01-01,527
com.app.71740,2024-01-01,100
com.app.37148,2024-01-01,233
com.app.64353,2024-01-01,786
com.app.94251,2024-01-01,734
com.app.95444,2024-01-01,443
com.app.97988,2024-01-01,362
com.app.64851,2024-01-01,134
com.app.24391,2024-01-01,65
com.app.36612,2024-01-01,299
com.app.24438,2024-01-01,4868
com.app.59849,2024-01-01,2230
com.app.30329,2024-01-01,24915
com.app.55057,2024-01-01,520
com.app.15493,2024-01-01,170
com.app.36433,2024-01-01,25
com.app.64764,2024-01-01,1218
com.app.16599,2024-01-01,522
com.app.13421,2024-01-01,3038
com.app.60429,2024-01-01,403
com.app.96037,2024-01-01,1327
com.app.50760,2024-01-01,362
com.app.54019,2024-01-01,449
com.app.45949,2024-01-01,10719
com.app.87209,2024-01-01,40
com.app.13071,2024-01-01,61
com.app.62062,2024-01-01,871
com.app.37541,2024-01-01,2912
com.app.43563,2024-01-01,1252
com.app.79907,2024-01-01,16
com.app.41993,2024-01-01,9
com.app.13655,2024-01-01,881
com.app.91706,2024-01-01,374
com.app.92210,2024-01-01,550
com.app.45088,2024-01-01,17979
com.app.31404,2024-01-01,145
com.app.97802,2024-01-01,191
com.app.23207,2024-01-01,992
com.app.48065,2024-01-01,6655
com.app.91205,2024-01-01,165
com.app.58221,2024-01-01,756
com.app.36145,2024-01-01,6423
com.app.19544,2024-01-01,34487
com.app.91525,2024-01-01,155
com.app.18251,2024-01-01,502
com.app.35190,2024-01-01,46139
com.app.64634,2024-01-01,102
com.app.34610,2024-01-01,5
com.app.23000,2024-01-01,1
com.app.37873,2024-01-01,562
com.app.37962,2024-01-01,2712
com.app.91093,2024-01-01,4354
com.app.88832,2024-01-01,954
com.app.38566,2024-01-01,1582
com.app.72306,2024-01-01,619
com.app.47280,2024-01-01,22308
com.app.96938,2024-01-01,0
com.app.60934,2024-01-01,68
com.app.88311,2024-01-01,748
com.app.97976,2024-01-01,870
com.app.69241,2024-01-01,39
com.app.72656,2024-01-01,1278
com.app.19872,2024-01-01,503
com.app.90842,2024-01-01,980
com.app.78794,2024-01-01,51178
com.app.38543,2024-01-01,754
com.app.47938,2024-01-01,595
com.app.14811,2024-01-01,966
com.app.89044,2024-01-01,72
com.app.85803,2024-01-01,115
com.app.81754,2024-01-01,178
com.app.88484,2024-01-01,20312
com.app.87411,2024-01-01,2481
com.app.95733,2024-01-01,117
com.app.89034,2024-01-01,412
com.app.53788,2024-01-01,161
com.app.16773,2024-01-01,5410
com.app.92275,2024-01-01,4230
com.app.31153,2024-01-01,24587
com.app.47188,2024-01-01,10187
com.app.20657,2024-01-01,175
com.app.90856,2024-01-01,458
com.app.34625,2024-01-01,955
com.app.78762,2024-01-01,177
com.app.21027,2024-01-01,1105
com.app.79754,2024-01-01,639
com.app.60633,2024-01-01,477
com.app.10626,2024-01-01,4064
com.app.26790,2024-01-01,679
com.app.17441,2024-01-01,1612
com.app.96361,2024-01-01,41
com.app.50679,2024-01-01,384
com.app.63770,2024-01-01,5291
com.app.55621,2024-01-01,6854
com.app.39929,2024-01-01,2623
com.app.82889,2024-01-01,77
com.app.88516,2024-01-01,576
com.app.64667,2024-01-01,8808
com.app.50792,2024-01-01,18
com.app.28498,2024-01-01,32451
com.app.80569,2024-01-01,546
com.app.91390,2024-01-01,1539
com.app.66309,2024-01-01,529
com.app.43242,2024-01-01,1678
com.app.98198,2024-01-01,25
com.app.83359,2024-01-01,2067
com.app.55537,2024-01-01,105
com.app.65216,2024-01-01,1708
com.app.27567,2024-01-01,944
com.app.21397,2024-01-01,3187
com.app.18711,2024-01-11,1364
com.app.86367,2024-01-11,1839
com.app.88509,2024-01-11,31157
com.app.93131,2024-01-11,129
com.app.19821,2024-01-11,23978
com.app.36257,2024-01-11,7936
com.app.15675,2024-01-11,4452
com.app.60770,2024-01-11,209
com.app.35851,2024-01-11,1510
com.app.97548,2024-01-11,3370
com.app.68015,2024-01-11,3272
com.app.78470,2024-01-11,3402
com.app.64140,2024-01-11,792
com.app.17806,2024-01-11,7090
com.app.84714,2024-01-11,1554
com.app.82896,2024-01-11,1215
com.app.77385,2024-01-11,3267
com.app.21603,2024-01-11,2516
com.app.93571,2024-01-11,21133
com.app.87362,2024-01-11,10490
com.app.61743,2024-01-11,2357
com.app.32607,2024-01-11,1770
com.app.31679,2024-01-11,2188
com.app.62109,2024-01-11,10978
com.app.41189,2024-01-11,14003
com.app.19772,2024-01-11,944
com.app.80525,2024-01-11,962
com.app.80610,2024-01-11,10876
com.app.33540,2024-01-11,7336
com.app.67629,2024-01-11,2115
com.app.44002,2024-01-11,243
com.app.99432,2024-01-11,8435
com.app.23305,2024-01-11,31831
com.app.24343,2024-01-11,2283
com.app.36648,2024-01-11,414
com.app.31454,2024-01-11,202
com.app.78155,2024-01-11,249
com.app.31097,2024-01-11,1858
com.app.85231,2024-01-11,438
com.app.59245,2024-01-11,326
com.app.60423,2024-01-11,2485
com.app.34656,2024-01-11,2605
com.app.74881,2024-01-11,271
com.app.95194,2024-01-11,11748
com.app.20651,2024-01-11,37
